Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Thunderbreak Regent,TDC,Tarkir: Dragonstorm Commander,241,normal,rare,1,104434,06624919-bb3e-458c-9301-0bb22d8b556c,0.4,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.801Z
Dromoka Monument,DTK,Dragons of Tarkir,238,normal,uncommon,2,11576,d4df975f-b6ef-4e8e-8be8-529c0ffd8a37,0.05,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.800Z
Kolaghan Forerunners,DTK,Dragons of Tarkir,144,normal,uncommon,1,11670,2c56a8de-8ae8-4672-8119-9e6a1f4cf5cd,0.16,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.799Z
Sight of the Scalelords,DTK,Dragons of Tarkir,207,normal,uncommon,1,11607,b5921758-4e21-4d34-8cf7-b0205d4b0912,0.34,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.798Z
Lava Axe,M19,Core Set 2019,150,normal,common,2,1162,c3dab325-8f4f-4288-9f3f-960e52b4335b,0.02,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.797Z
Kolaghan Monument,IMA,Iconic Masters,217,normal,uncommon,1,3408,3efb210e-00a9-470e-ac30-4036a7befd4c,0.07,false,false,near_mint,fr,EUR,2026-07-19T16:10:49.796Z
Deathbringer Regent,NCC,New Capenna Commander,246,normal,rare,1,68290,8006515a-69de-4713-8318-79c0ef78a6d1,0.19,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.963Z
Pristine Skywise,C19,Commander 2019,196,normal,rare,1,45738,516512f5-b4ce-46d3-bdda-c88b357192ca,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.962Z
Ojutai's Summons,DTK,Dragons of Tarkir,68,normal,common,3,11746,6769341a-1331-456d-a2bb-cd7fffe7b51d,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.961Z
Artful Maneuver,DTK,Dragons of Tarkir,4,normal,common,3,11810,7fcaf67e-ba97-4af9-8c47-dbca703cba35,0.15,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.960Z
Sidisi's Faithful,DTK,Dragons of Tarkir,74,normal,common,4,11740,d02daad9-701f-40d4-ad0b-44a3cbd32c3f,0.17,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.959Z
Aven Tactician,DTK,Dragons of Tarkir,6,normal,common,2,11808,b9dfc3ec-ca06-40a6-b77c-c2432af9802f,0.04,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.958Z
Pinion Feast,DTK,Dragons of Tarkir,195,normal,common,2,11619,45d6df03-c3c3-42c3-85a4-6fccb0741592,0.08,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.957Z
Zombie,TDTK,Dragons of Tarkir Tokens,3,normal,common,1,11547,e4de662d-374d-4dd7-908f-bcde7bdc5ae9,0.17,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.956Z
Plains,DTK,Dragons of Tarkir,251,normal,common,1,11563,2484c9db-44bc-411c-af43-bfe0e30f0ffa,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.955Z
Atarka Efreet,DTK,Dragons of Tarkir,128,normal,common,1,11686,b192067c-7cdb-4d3c-95b7-819733e44678,0.05,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.954Z
Atarka Pummeler,DTK,Dragons of Tarkir,129,normal,uncommon,1,11685,d55f2528-f37f-46b9-b95f-4d142f656723,0.1,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.953Z
Stormrider Rig,DTK,Dragons of Tarkir,245,normal,uncommon,1,11569,38b08344-780d-4bd7-882a-dcadeb40f159,0.14,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.952Z
Duress,DTK,Dragons of Tarkir,98,normal,common,1,11716,e9e79c2c-1b4d-4f20-a769-94890c91b539,0.08,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.951Z
Servant of the Scale,DTK,Dragons of Tarkir,203,normal,common,1,11611,ca887c41-a8ee-4751-a902-87149c29a9df,0.14,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.950Z
Hardened Berserker,DTK,Dragons of Tarkir,139,normal,common,1,11675,d10fb883-12b8-4050-967e-4281ea620906,0.15,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.949Z
Butcher's Glee,IMA,Iconic Masters,84,normal,common,1,3541,92a00c8d-9dac-4edc-b66c-ab3245d80969,0.18,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.948Z
Impact Tremors,MOC,March of the Machine Commander,285,normal,common,3,81646,46db3811-db1d-4f69-8143-a93f64d0297b,2.6,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.946Z
Scion of Ugin,IMA,Iconic Masters,1,normal,common,1,3624,2904aaaa-cd25-4c05-9d57-4c5a951ac6d9,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.945Z
Foul-Tongue Invocation,IMA,Iconic Masters,91,normal,common,1,3534,0b77ed75-05d4-4eb3-8c19-dada6b8bb116,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.944Z
Dromoka's Gift,DTK,Dragons of Tarkir,184,normal,uncommon,1,11630,a356afb6-19d7-459a-84ca-090924d45387,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.943Z
Sheltered Aerie,DTK,Dragons of Tarkir,206,normal,common,2,11608,afecf5a8-3c9e-48e0-8818-e2e3183e958c,0.13,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.942Z
Herdchaser Dragon,DTK,Dragons of Tarkir,190,normal,uncommon,1,11624,5fb84323-b6f7-43ea-baf1-3e29b33b680d,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.941Z
Shieldhide Dragon,DTK,Dragons of Tarkir,37,normal,uncommon,1,11777,fcfd0af4-44e1-424b-8e55-87f84a42d40a,0.11,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.940Z
Atarka Monument,DTK,Dragons of Tarkir,235,normal,uncommon,1,11579,63d52217-a340-4567-9b07-28092a7dc561,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.939Z
Rending Volley,DTK,Dragons of Tarkir,150,normal,uncommon,1,11664,8234090e-9df1-4915-90ef-8a4bc6212655,0.55,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.938Z
Evolving Wilds,EOC,Edge of Eternities Commander,158,normal,common,3,106990,31181bd2-3a1f-4cb9-ba30-637ac479133a,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.937Z
Draconic Roar,IMA,Iconic Masters,123,normal,common,1,3502,11c57c26-500b-4ca2-9c47-f2a0e31975b3,0.12,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.936Z
Virulent Plague,DTK,Dragons of Tarkir,125,normal,uncommon,1,11689,3c5f82b6-53d9-43ce-8a17-c680c443e586,0.23,false,false,near_mint,fr,EUR,2026-07-19T16:13:30.935Z
Attune with Aether,DRC,Aetherdrift Commander,109,normal,common,1,103008,442c3621-3d4c-4145-b63d-81cd2564374b,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.388Z
Take Down,KLD,Kaladesh,170,normal,common,1,7473,f8e702db-8c73-4947-9c13-5dcb50f4efab,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.387Z
Inventor's Goggles,DDU,Duel Decks: Elves vs. Inventors,55,normal,common,2,2412,8fc62d61-2bc0-4b84-a0e9-5a01fcd4ef92,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.386Z
Sage of Shaila's Claim,KLD,Kaladesh,168,normal,common,1,7475,0987d29a-2043-4341-89d5-5e34bb6507e2,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.385Z
Eager Construct,2XM,Double Masters,250,normal,common,1,52138,5b23ca61-157b-4616-bbf4-0c1298ddbbb4,0.06,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.383Z
Woodweaver's Puzzleknot,KLD,Kaladesh,240,normal,common,2,7403,899d7420-f16d-4910-adf7-6deff47ecf1e,0.14,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.381Z
Torch Gauntlet,KLD,Kaladesh,237,normal,common,1,7406,dfcf9a88-c5f8-4c26-a2ee-d2827e9a31d8,0.03,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.380Z
Commencement of Festivities,KLD,Kaladesh,148,normal,common,1,7495,f1724602-2ae1-40a4-aeb0-51a483a6948c,0.09,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.379Z
Prophetic Prism,KLD,Kaladesh,229,normal,common,1,7414,06450be5-0634-4aef-bda7-4d4fbb9ec00a,0.1,false,false,near_mint,fr,EUR,2026-07-19T16:23:34.378Z
